Class,Mean_Hue,Mean_Saturation,Mean_Value
MENUJU MATANG,4.8880364688826194,23.660398757997363,19.506976720236946
MENUJU MATANG,4.424994323479296,26.791778187692902,20.01496146245258
MENUJU MATANG,4.222039619100437,21.590038283862203,17.410104319882493
MENUJU MATANG,4.460246710129726,25.387153908058448,20.38552806210616
MENUJU MATANG,4.310003523963959,25.316601788556135,18.773481706532923
MENUJU MATANG,4.933356767819252,27.318088672779226,20.6596626313135
MENUJU MATANG,4.340139318395544,27.082580754786363,20.09773015779723
MENUJU MATANG,4.400712127057613,24.70803085766702,21.017360357590665
MENUJU MATANG,4.305124541859568,25.42393732267152,19.710389753428014
MENUJU MATANG,5.239203684614519,28.131490197201323,22.013460952068062
MENUJU MATANG,4.95577651286812,27.25920645003456,20.79140287171666
MENUJU MATANG,5.391492364828479,31.902290187254856,26.680931436672132
MENUJU MATANG,4.63004789627138,27.810746620711967,21.42275661892361
MENUJU MATANG,4.4811735427919235,25.782639491705247,20.783699569388183
MENUJU MATANG,4.528229010939108,24.715928819444443,20.852311687704958
MENUJU MATANG,4.276664074556328,26.473302958924094,20.295767262148757
MENUJU MATANG,4.524040755911619,24.185048986364293,17.827189002017427
MENUJU MATANG,4.315588240760834,24.976597036353844,19.969524744606804
MENUJU MATANG,4.141781967853813,23.241571559827513,17.835396409525302
MENUJU MATANG,4.187395637418017,23.05984358924897,17.363306555728364
MENUJU MATANG,5.40013342335391,28.183390299479168,22.51249506444107
MENUJU MATANG,4.976832888253922,26.74518927428948,21.795297818909948
MENUJU MATANG,4.755231566880465,28.926682334868506,22.532796663511927
MENUJU MATANG,5.0423533121744795,24.628385253403902,20.747736989715953
MENUJU MATANG,4.888742705922068,24.231730771162873,19.574879650225856
MENUJU MATANG,4.4684393611955056,24.493533789866255,19.85016767085825
MENUJU MATANG,4.394209873529128,27.009336181138277,21.3443154543025
MENUJU MATANG,4.276292777355806,23.474771821449814,20.073522057552886
MENUJU MATANG,4.143862312222704,24.45948785224569,20.064650672943994
MENUJU MATANG,3.686334429454411,21.05391821841644,16.765164473419816
MENUJU MATANG,5.1694238607775524,29.97535284850823,25.011430340048708
MENUJU MATANG,4.734141597041377,28.659476448969585,22.47420913005562
MENUJU MATANG,5.141596915790574,27.208009256747523,23.123511671529386
MENUJU MATANG,4.716554241415895,27.139745767224472,22.07352639029546
MENUJU MATANG,4.991120515046297,27.584751709989067,21.138519035935893
MENUJU MATANG,4.477232693644708,24.733126165444958,19.53121904286828
MENUJU MATANG,5.261368111818416,29.05917295605067,23.957978111235693
MENUJU MATANG,5.25549919222608,29.118526819802117,23.79593661586934
MENUJU MATANG,5.13123462818287,28.42653169357237,22.384520982028036
MENUJU MATANG,5.19737362959748,27.74748952104231,23.33412145292808
MENUJU MATANG,4.864042745205601,28.741971114044816,22.52187771267361
MENUJU MATANG,4.359765198005079,21.285639382193608,15.89937406312291
MENUJU MATANG,4.839148313420299,25.428622838401008,22.137718546047132
MENUJU MATANG,3.8065985534416797,23.673533372918275,16.131368315268936
MENUJU MATANG,4.530972390508455,24.355051174085325,20.28396449461886
MENUJU MATANG,5.08087855209539,29.18237700285735,22.69511928479858
MENUJU MATANG,4.580087544005594,24.865165051118826,20.43832340946904
MENUJU MATANG,4.329433362670396,28.54598923671393,21.514473557962802
MENUJU MATANG,3.7999054080664867,22.811590814786683,17.865710788302952
MENUJU MATANG,4.627033374927662,31.291530719019256,24.13229615011333
MENUJU MATANG,4.758102228612076,25.77523665565522,21.82638198161812
